model,condition,theta,seed,metric,value,fs_hz,w3_rad_s,demod_lp_frac,nbw_rel,welch_nperseg,welch_noverlap,psd_norm,is_surrogate,psd_nrmse,config_hash,run_id,holm_family,wall_s,ode_steps,timestamp,status,failure_reason
classical,ou,0.7,407205334,baseband_power,1.2032424225934077e-31,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.04184441700000008,12000.0,2025-10-10T19:48:47.297767Z,ok,
classical,psd_matched,0.7,407205334,baseband_power,1.0645888168079375e-31,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.042164624999999845,12000.0,2025-10-10T19:48:47.297784Z,ok,
classical,ou,0.7,407205334,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.04184441700000008,12000.0,2025-10-10T19:48:47.297788Z,ok,
classical,psd_matched,0.7,407205334,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.042164624999999845,12000.0,2025-10-10T19:48:47.297790Z,ok,
classical,ou,1.0,3383382447,baseband_power,1.4207677617839018e-31,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.042008959000000345,12000.0,2025-10-10T19:48:52.765163Z,ok,
classical,psd_matched,1.0,3383382447,baseband_power,7.582982458351719e-32,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.0419909159999996,12000.0,2025-10-10T19:48:52.765180Z,ok,
classical,ou,1.0,3383382447,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.042008959000000345,12000.0,2025-10-10T19:48:52.765183Z,ok,
classical,psd_matched,1.0,3383382447,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.0419909159999996,12000.0,2025-10-10T19:48:52.765186Z,ok,
classical,ou,1.3,1408818565,baseband_power,8.86303948920161e-32,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.042075167000000135,12000.0,2025-10-10T19:48:55.504160Z,ok,
classical,psd_matched,1.3,1408818565,baseband_power,1.7693369580160677e-31,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.04212291600000029,12000.0,2025-10-10T19:48:55.504172Z,ok,
classical,ou,1.3,1408818565,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.042075167000000135,12000.0,2025-10-10T19:48:55.504187Z,ok,
classical,psd_matched,1.3,1408818565,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,0.04212291600000029,12000.0,2025-10-10T19:48:55.504189Z,ok,
classical,psd_overlay,0.7,-1,psd_nrmse,0.01148789644849619,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.01148789644849619,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,nan,nan,2025-10-10T19:48:57.365645Z,ok,
classical,psd_overlay,1.0,-1,psd_nrmse,0.007514193891281111,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.007514193891281111,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,nan,nan,2025-10-10T19:48:57.725744Z,ok,
classical,psd_overlay,1.3,-1,psd_nrmse,0.011682039100434992,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.011682039100434992,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,2cc34602,classical_ou_vs_surrogate,nan,nan,2025-10-10T19:48:58.088393Z,ok,
